dataset,ranking_method,N,Hit rate,Precision,Enrichment,Tanimoto_topk_to_train,Tanimoto_hits_to_train_actives,Tanimoto_topk_scaffold_to_train,Tanimoto_hits_scaffold_to_train_actives,pharmacophore_topk_to_train,pharmacophore_hits_to_train_actives,MCSF,MCSF_hits_to_train_actives,internal_tanimoto_topk,internal_tanimoto_hits,unique_scaffolds_subset,unique_scaffolds_subset_ratio,unique_scaffolds_hits_ratio,new_scaffolds_ratio,new_hit_scaffolds_ratio
CHEMBL2034_Ki,utopia_dist_E_min_cats,50,1.0,0.54,0.7239188138456176,0.11901160000000001,0.13,0.252514,0.285,0.3065877844,0.33103013,0.2345681413440727,0.2268389571327586,0.3335,0.3088,22,0.44,0.48148148148148145,1.0,1.0
CHEMBL2034_Ki,utopia_dist_E_min_ood_min_scaffold_tanimoto,50,1.0,0.48,0.6416940723510066,0.11760659999999998,0.126,0.25230400000000003,0.2795,0.31278951920000003,0.33641124,0.24092295922031043,0.23268594300671927,0.2974,0.2864,22,0.44,0.4583333333333333,1.0,1.0
CHEMBL2034_Ki,utopia_dist_E_min_mcsf,50,1.0,0.94,1.260459128942287,0.1329882,0.1427,0.365216,0.3738,0.4063333942,0.43073454,0.18127140820948318,0.18963621925718935,0.3354,0.355,29,0.58,0.5531914893617021,1.0,1.0
CHEMBL2034_Ki,utopia_dist_min_ood_min_cats,50,0.8947368421052632,0.4473684210526316,0.45283823020164626,0.11471640000000001,0.1239,0.256134,0.2766,0.30324392640000003,0.31628975,0.2625748299272504,0.2346977154725931,0.2593,0.2983,22,0.44,0.5294117647058824,1.0,1.0
CHEMBL2034_Ki,utopia_dist_E_min_unc_min_tanimoto,50,1.0,0.74,0.9875620562643463,0.1202988,0.1294,0.305914,0.3335,0.3512321772,0.38639587,0.21055862601214073,0.21089338534462734,0.2478,0.26,29,0.58,0.5945945945945946,1.0,1.0
CHEMBL2034_Ki,utopia_dist_E_min_ood_min_tanimoto,50,1.0,0.64,0.8559582720342384,0.11945860000000001,0.1292,0.300044,0.3428,0.3466654222,0.39131337,0.2344264760088239,0.22407352283792017,0.2542,0.324,26,0.52,0.46875,1.0,1.0
CHEMBL2034_Ki,utopia_dist_E_min_unc,50,1.0,0.98,1.3114227598758164,0.13687500000000002,0.1475,0.355062,0.361,0.39942826620000005,0.41933504,0.18878304137557692,0.19902883008600358,0.483,0.4856,24,0.48,0.46938775510204084,1.0,1.0
CHEMBL2034_Ki,utopia_dist_E_max_ood,50,1.0,0.96,1.2809564474807855,0.135935,0.1467,0.35516400000000004,0.3591,0.39879482659999993,0.41865167,0.18941043095915464,0.20009674567206073,0.5054,0.5254,22,0.44,0.4166666666666667,1.0,1.0
CHEMBL2034_Ki,utopia_dist_E_min_unc_min_ood,50,1.0,0.82,1.098106435975038,0.1251172,0.1333,0.319958,0.3503,0.36432633680000004,0.40445864,0.21864700292591516,0.2185604549884125,0.284,0.3276,22,0.44,0.43902439024390244,1.0,1.0
CHEMBL2034_Ki,utopia_dist_E_min_unc_min_mcsf,50,1.0,0.94,1.2574914383561644,0.1329882,0.1427,0.365216,0.3738,0.4063333942,0.43073454,0.18127140820948318,0.18963621925718935,0.3354,0.355,29,0.58,0.5531914893617021,1.0,1.0
CHEMBL2034_Ki,utopia_dist_E_min_ood_min_mcsf,50,1.0,0.9,1.2060139897622812,0.127873,0.1351,0.35806200000000005,0.378,0.39555571199999995,0.4282394,0.20912294591047653,0.2127736903067768,0.3806,0.4236,22,0.44,0.4,1.0,1.0
CHEMBL2034_Ki,utopia_dist_E_min_ood_min_cats,50,1.0,0.5,0.6693798864731713,0.11737959999999999,0.1252,0.25206799999999996,0.2798,0.3097716558,0.33333147,0.2408125266405322,0.23190500879069087,0.3062,0.2896,23,0.46,0.48,1.0,1.0
CHEMBL2034_Ki,utopia_dist_min_ood_min_mcsf,50,1.0,0.8979591836734694,1.179466559442434,0.12712900000000002,0.1345,0.352952,0.3755,0.39023016720000003,0.425751,0.21025603354300312,0.21250439083318048,0.3708,0.424,21,0.42,0.38636363636363635,1.0,1.0
CHEMBL2034_Ki,utopia_dist_E_min_unc_min_cats,50,1.0,0.6,0.8046562776600595,0.12221620000000001,0.134,0.26567,0.2974,0.3162432584,0.34351015,0.2250759516341041,0.22342206664378492,0.3335,0.3245,24,0.48,0.5333333333333333,1.0,1.0
CHEMBL2034_Ki,utopia_dist_E_min_scaffold_tanimoto,50,1.0,0.54,0.7202496865580067,0.1193508,0.1306,0.250146,0.2803,0.3121277748,0.33897948,0.23484477510603416,0.23159560634245363,0.3435,0.3306,22,0.44,0.5185185185185185,1.0,1.0
CHEMBL2034_Ki,utopia_dist_min_ood_min_scaffold_tanimoto,50,0.8947368421052632,0.4473684210526316,0.45606975184439974,0.11575460000000001,0.1268,0.25463399999999997,0.2622,0.31256037140000004,0.33215064,0.2639870644859109,0.23732103413562622,0.2438,0.2944,22,0.44,0.4117647058823529,1.0,1.0
CHEMBL2034_Ki,utopia_dist_E_min_unc_max_ood,50,1.0,0.96,1.283285210137953,0.135935,0.1467,0.35516400000000004,0.3591,0.39879482659999993,0.41865167,0.18941043095915464,0.20009674567206073,0.5054,0.5254,22,0.44,0.4166666666666667,1.0,1.0
CHEMBL2147_Ki,utopia_dist_E_min_tanimoto,50,1.0,0.2,0.9490367277213627,0.12429040000000001,0.1214,0.43229599999999996,0.4165,0.3141189238,0.33102316,0.20781573345304286,0.18335361948897236,0.1283,0.2424,38,0.76,0.6,1.0,1.0
CHEMBL2147_Ki,utopia_dist_E_min_unc_min_scaffold_tanimoto,50,1.0,0.74,3.5362706680684317,0.17883640000000003,0.2207,0.434226,0.469,0.38894074260000006,0.44000483,0.23586474995060436,0.26964213954546157,0.2189,0.2988,41,0.82,0.7837837837837838,1.0,1.0
CHEMBL2147_Ki,utopia_dist_E,50,1.0,0.72,3.46353665576294,0.18614980000000003,0.2263,0.453102,0.4763,0.39348907099999997,0.44507873,0.2476530204900389,0.27376747427836245,0.2319,0.3164,41,0.82,0.8055555555555556,1.0,1.0
CHEMBL2147_Ki,utopia_dist_min_ood_min_tanimoto,50,1.0,0.2222222222222222,0.19286403085824494,0.118796,0.127,0.40914600000000007,0.4429,0.28775539400000005,0.34218758,0.229291313223019,0.20469919488611077,0.1345,0.5425,39,0.78,0.5,1.0,1.0
CHEMBL2147_Ki,utopia_dist_E_min_ood,50,1.0,0.7,3.3796832753959056,0.1922298,0.2307,0.46409799999999996,0.4802,0.3976639392,0.44877633,0.2513630402585117,0.2806147692710954,0.2457,0.331,40,0.8,0.8,1.0,1.0
CHEMBL2147_Ki,utopia_dist_E_max_unc,50,0.875,0.15217391304347827,0.6725595695618756,0.1383686,0.126,0.450264,0.4211,0.32144246000000004,0.3298781,0.2461861903743558,0.20127710904056376,0.1442,0.2231,42,0.84,0.7142857142857143,1.0,1.0
CHEMBL2147_Ki,utopia_dist_E_min_cats,50,1.0,0.24489795918367346,1.1423131841980008,0.1362586,0.1573,0.44418399999999997,0.4485,0.3120582666,0.34372687,0.22101008370380953,0.21082845664094715,0.1295,0.161,41,0.82,0.75,1.0,1.0
CHEMBL2147_Ki,utopia_dist_E_min_ood_min_scaffold_tanimoto,50,1.0,0.72,3.4094137702433946,0.18303279999999997,0.2263,0.4350179999999999,0.4763,0.3876658458000001,0.44507873,0.23518756310883304,0.2737674742783625,0.2313,0.3164,41,0.82,0.8055555555555556,1.0,1.0
CHEMBL2147_Ki,utopia_dist_E_min_mcsf,50,1.0,0.58,2.7764480612733364,0.1580396,0.2019,0.43131,0.4617,0.36058988559999994,0.41823062,0.20579844790376936,0.2446328315365128,0.1625,0.2383,38,0.76,0.7586206896551724,1.0,1.0
CHEMBL2147_Ki,utopia_dist_min_ood_min_cats,50,0.5,0.4,0.19087612139721322,0.1264238,0.19,0.40409,0.4768,0.23289914160000003,0.3478527,0.24300618980117772,0.25200409815582986,0.1656,0.1068,34,0.68,1.0,1.0,1.0
CHEMBL2147_Ki,utopia_dist_E_min_unc_min_tanimoto,50,1.0,0.46,2.1871434005325217,0.1497634,0.1912,0.43873000000000006,0.461,0.35329615459999997,0.4075239,0.21828487154699466,0.23766036752664071,0.1509,0.2471,38,0.76,0.782608695652174,1.0,1.0
CHEMBL2147_Ki,utopia_dist_E_min_ood_min_tanimoto,50,1.0,0.5,2.4038461538461537,0.16196860000000002,0.219,0.446332,0.4768,0.364519419,0.44148633,0.22821392141147773,0.27138037465483755,0.1738,0.3098,42,0.84,0.84,1.0,1.0
CHEMBL2147_Ki,utopia_dist_E_min_unc,50,1.0,0.72,3.435770185149838,0.18537380000000003,0.2263,0.4531760000000001,0.4763,0.3939500236,0.44507873,0.24681175501548594,0.27376747427836245,0.2305,0.3164,41,0.82,0.8055555555555556,1.0,1.0
CHEMBL2147_Ki,utopia_dist_E_max_ood,50,1.0,0.34,1.6145882799886029,0.151444,0.1863,0.451894,0.4543,0.3472124429999999,0.40259036,0.23837592986471084,0.24288176021671487,0.1466,0.1875,39,0.78,0.7058823529411765,1.0,1.0
CHEMBL2147_Ki,utopia_dist_E_min_unc_min_ood,50,1.0,0.7,3.32509975299259,0.1905038,0.2307,0.45978600000000003,0.4802,0.39556538100000005,0.44877633,0.2497627520551973,0.2806147692710954,0.2421,0.331,40,0.8,0.8,1.0,1.0
CHEMBL2147_Ki,utopia_dist_E_min_unc_min_mcsf,50,1.0,0.74,3.590141665049486,0.1810318,0.2235,0.4470300000000001,0.4736,0.38716266779999997,0.44056886,0.23327962232561625,0.2713335321488748,0.2277,0.3057,41,0.82,0.8108108108108109,1.0,1.0
CHEMBL2147_Ki,utopia_dist_E_min_ood_min_mcsf,50,1.0,0.62,2.935328093930499,0.1836208,0.2299,0.4602979999999999,0.4792,0.38961920140000006,0.44654647,0.23572803676087775,0.2789687636828924,0.2241,0.337,43,0.86,0.8709677419354839,1.0,1.0
CHEMBL2147_Ki,utopia_dist_E_min_ood_min_cats,50,1.0,0.4791666666666667,2.1894336030461683,0.1659478,0.2227,0.4611200000000001,0.49,0.3405781972,0.4149545,0.23868666231883703,0.278668430872376,0.177,0.3157,42,0.84,0.9130434782608695,1.0,1.0
CHEMBL2147_Ki,utopia_dist_min_ood_min_mcsf,50,0.96,0.8,2.2763919188086885,0.16683939999999997,0.2344,0.44125800000000004,0.4812,0.3613736514,0.44710973,0.21660695900932747,0.28253577312598294,0.1903,0.3804,42,0.84,0.9583333333333334,1.0,1.0
CHEMBL2147_Ki,utopia_dist_E_min_unc_min_cats,50,0.9615384615384616,0.5102040816326531,2.4070864625457347,0.16051400000000002,0.2056,0.447712,0.4712,0.3413002988,0.3978777,0.23314959843815639,0.25997567037616964,0.1644,0.2489,43,0.86,0.88,1.0,1.0
CHEMBL2147_Ki,utopia_dist_E_min_scaffold_tanimoto,50,1.0,0.6,2.849273435274005,0.16181160000000003,0.2074,0.41594000000000003,0.4492,0.36374635159999996,0.42557642,0.2204222614125777,0.2556874976445307,0.1742,0.2642,41,0.82,0.8333333333333334,1.0,1.0
CHEMBL2147_Ki,utopia_dist_min_ood_min_scaffold_tanimoto,50,0.9444444444444444,0.7727272727272727,1.6417189763399322,0.15049200000000001,0.2439,0.34939,0.4575,0.32256278559999996,0.46280733,0.22487576602153173,0.2926712760646071,0.1879,0.4954,40,0.8,1.0,1.0,1.0
CHEMBL2147_Ki,utopia_dist_E_min_unc_max_ood,50,1.0,0.56,2.6892047637341525,0.1662166,0.2042,0.45226400000000005,0.4692,0.3705161344,0.4246333,0.23776185082846882,0.2501728463192096,0.172,0.242,38,0.76,0.7142857142857143,1.0,1.0
CHEMBL235_EC50,utopia_dist_E_min_tanimoto,50,0.9629629629629629,0.5909090909090909,1.670843776106934,0.157865,0.1709,0.40892,0.419,0.412962602,0.44413516,0.2382385836381105,0.2570556165030328,0.1699,0.194,37,0.74,0.7692307692307693,1.0,1.0
CHEMBL235_EC50,utopia_dist_E_min_unc_min_scaffold_tanimoto,50,0.9655172413793104,0.5957446808510638,1.7874241940631983,0.17029639999999996,0.1761,0.40506,0.4204,0.44479641359999994,0.4523138,0.25744774363422634,0.2643184502558977,0.2006,0.203,32,0.64,0.7142857142857143,1.0,1.0
CHEMBL235_EC50,utopia_dist_E,50,1.0,0.56,1.788337484831066,0.1814034,0.1863,0.4282780000000001,0.4438,0.45449369300000003,0.45027593,0.2632371415381549,0.2710813834327586,0.2311,0.2168,31,0.62,0.75,1.0,1.0
CHEMBL235_EC50,utopia_dist_min_ood_min_tanimoto,50,0.625,1.0,0.3177023764137756,0.1460516,0.1641,0.36038200000000004,0.3855,0.42712615039999996,0.5047113,0.2437967141956957,0.2750145118862976,0.1604,0.2202,38,0.76,0.8,1.0,1.0
CHEMBL235_EC50,utopia_dist_E_min_ood,50,0.9230769230769231,0.5106382978723404,1.5359017022910535,0.19343500000000002,0.1996,0.4476079999999999,0.4685,0.47596207640000004,0.47587696,0.27355409411846,0.28208743463566005,0.2666,0.2477,30,0.6,0.75,1.0,1.0
CHEMBL235_EC50,utopia_dist_E_max_unc,50,0.92,0.5111111111111111,1.4642220524573466,0.1775544,0.1803,0.41310199999999997,0.4126,0.45559392300000007,0.46947435,0.2567467823254159,0.2550620935763899,0.2161,0.2375,31,0.62,0.782608695652174,1.0,1.0
CHEMBL235_EC50,utopia_dist_E_min_cats,50,1.0,0.525,1.3474494706448508,0.16091620000000004,0.1891,0.43089799999999995,0.4626,0.3715594272,0.42177147,0.23142392791495758,0.26169702020703456,0.1831,0.2412,40,0.8,0.8095238095238095,1.0,1.0
CHEMBL235_EC50,utopia_dist_E_min_ood_min_scaffold_tanimoto,50,1.0,0.48936170212765956,1.4949626259343516,0.184586,0.1854,0.4186580000000001,0.433,0.4692726495999999,0.46348247,0.273456602964458,0.27716693194774517,0.2468,0.2156,30,0.6,0.7391304347826086,1.0,1.0
CHEMBL235_EC50,utopia_dist_E_min_mcsf,50,1.0,0.58,1.8561187916026625,0.1779524,0.1841,0.4262699999999999,0.4417,0.4473246108000001,0.45072883,0.25614761225869964,0.26831462488053315,0.211,0.2102,34,0.68,0.7586206896551724,1.0,1.0
CHEMBL235_EC50,utopia_dist_min_ood_min_cats,50,0.14285714285714285,1.0,0.12754288629551688,0.158842,0.1886,0.370704,0.461,0.29424831939999996,0.39880872,0.2548282136271844,0.2579097177497444,0.1637,0.177,39,0.78,1.0,1.0,1.0
