"split","dataset","Tanimoto_to_train","Tanimoto_scaffold_to_train","Cats_cos","MCSF"
"Train","Ames_mutagenicity",0.0844289307670189,0.294697987923226,0.173030700567551,0.248397604329322
"Train","CHEMBL1862_Ki",0.244533664450128,0.582391360613811,0.448727933625575,0.365304464051931
"Train","CHEMBL1871_Ki",0.176912713756614,0.46024026984127,0.37419283983545,0.364156037465413
"Train","CHEMBL2034_Ki",0.152030220809793,0.478395969868173,0.404189993395951,0.280200052610534
"Train","CHEMBL2047_EC50",0.174217783278328,0.483278558855886,0.340321435261276,0.289264092657566
"Train","CHEMBL204_Ki",0.169438603363413,0.467256429587093,0.321464540291769,0.249257140022836
"Train","CHEMBL2147_Ki",0.188906276248726,0.5766799745158,0.37052073583002,0.248314509480726
"Train","CHEMBL214_Ki",0.181851620256059,0.525580212877229,0.321477249231481,0.299414554445206
"Train","CHEMBL218_EC50",0.162105963906582,0.437383536730361,0.351026303838287,0.236609014650383
"Train","CHEMBL219_Ki",0.203923393481183,0.539155335089046,0.308504650879032,0.314993361602454
"Train","CHEMBL228_Ki",0.144176259611322,0.426619495141529,0.302033366028306,0.291341140665447
"Train","CHEMBL231_Ki",0.175793160350877,0.496516224561403,0.327856098729825,0.283082556056509
"Train","CHEMBL233_Ki",0.171672410554772,0.338502680601787,0.324408981288669,0.268854601251411
"Train","CHEMBL234_Ki",0.193687254365983,0.579150672930904,0.359120580439446,0.284300934313657
"Train","CHEMBL235_EC50",0.191202001190476,0.548910212172619,0.444456977714435,0.297892559301499
"Train","CHEMBL236_Ki",0.174279317276241,0.322717823371989,0.31287116607523,0.279210601733073
"Train","CHEMBL237_EC50",0.201450456008584,0.358551248211731,0.350860258123391,0.30752103823627
"Train","CHEMBL237_Ki",0.179018463344788,0.336277331042383,0.329653939919101,0.264637382870591
"Train","CHEMBL238_Ki",0.14017414033264,0.380473784684685,0.270647350157311,0.332759776617927
"Train","CHEMBL244_Ki",0.173402091588335,0.4874662481369,0.311386559884912,0.262454840014941
"Train","CHEMBL262_Ki",0.145451853881279,0.468955882800609,0.305946168595129,0.267666172043014
"Train","CHEMBL264_Ki",0.189253688428059,0.555970258576549,0.350706578236047,0.283905207560292
"Train","CHEMBL2835_Ki",0.559199804556355,0.741197092326139,0.58653543155036,0.51662823143177
"Train","CHEMBL287_Ki",0.17734894276349,0.487817617246596,0.29029218968119,0.297141952104661
"Train","CHEMBL2971_Ki",0.283336265746638,0.534630661712668,0.435155918012385,0.312121617343328
"Train","CHEMBL3979_EC50",0.222271601803374,0.545304697498546,0.538168440442408,0.324923735757075
"Train","CHEMBL4005_Ki",0.196366213541667,0.493862989583333,0.416204217715972,0.264559512912929
"Train","CHEMBL4203_Ki",0.138886652777778,0.477376276041667,0.282972059908854,0.273697786488711
"Train","CHEMBL4616_EC50",0.193151818051576,0.528231547277937,0.393092276853868,0.285042086480972
"Train","CHEMBL4792_Ki",0.261558465965966,0.609406213713714,0.544897098632382,0.342862661919672
"Train","ESR1_ant",0.098083757051282,0.337657125,0.203368271467874,0.274351700548843
"Train","PPARG",0.0993596229460094,0.349075642605634,0.196078443483206,0.28337733169334
"Train","TP53",0.0974496880530973,0.357763765978368,0.20226008323444,0.270576089362814
"Test","Ames_mutagenicity",0.0834005125588697,0.296555251177394,0.171947644322606,0.246434679494623
"Test","CHEMBL1862_Ki",0.246473452380952,0.586964285714286,0.457672098095238,0.369273541862654
"Test","CHEMBL1871_Ki",0.181764747474747,0.460390909090909,0.372470627474747,0.376482080708611
"Test","CHEMBL2034_Ki",0.153094397590361,0.482260240963855,0.412527200060241,0.280643181509838
"Test","CHEMBL2047_EC50",0.172597412587413,0.48266013986014,0.342190488881119,0.281293929786658
"Test","CHEMBL204_Ki",0.169395589836661,0.471688675136116,0.322024615480944,0.249413127938427
"Test","CHEMBL2147_Ki",0.185458491620112,0.570746648044693,0.367076936675978,0.243333154071617
"Test","CHEMBL214_Ki",0.183732400990099,0.529056188118812,0.323982078824257,0.30177174957501
"Test","CHEMBL218_EC50",0.157025523012552,0.437941422594142,0.356660438828452,0.23272209849101
"Test","CHEMBL219_Ki",0.203915847457627,0.53916384180791,0.306286046440678,0.317098435416956
"Test","CHEMBL228_Ki",0.144258383084577,0.430471144278607,0.300136755099502,0.290571431469906
"Test","CHEMBL231_Ki",0.173006605504587,0.499607798165138,0.331424756376147,0.273101278145783
"Test","CHEMBL233_Ki",0.169901630591631,0.334731168831169,0.325639818571429,0.268325487396712
"Test","CHEMBL234_Ki",0.192068742368742,0.578646642246642,0.357296315921856,0.282086621267214
"Test","CHEMBL235_EC50",0.190425482041588,0.547945763705104,0.436690131115312,0.297761489984337
"Test","CHEMBL236_Ki",0.173235236363636,0.324944181818182,0.312736870309091,0.282901341267014
"Test","CHEMBL237_EC50",0.192669595959596,0.350601515151515,0.354465254777778,0.301769582658665
"Test","CHEMBL237_Ki",0.178000926243568,0.335653516295026,0.328641575574614,0.262206395786043
"Test","CHEMBL238_Ki",0.136383083333333,0.379774583333333,0.264483072291667,0.326315749915187
"Test","CHEMBL244_Ki",0.171100836879433,0.487823404255319,0.310381528851064,0.260610496260471
"Test","CHEMBL262_Ki",0.143118908045977,0.466098275862069,0.304636494022988,0.266666522760317
"Test","CHEMBL264_Ki",0.189324884726225,0.554531700288184,0.351525827760807,0.280014331455585
"Test","CHEMBL2835_Ki",0.560165131578947,0.73951447368421,0.594547636447368,0.510532649900723
"Test","CHEMBL287_Ki",0.176001352313167,0.487762989323843,0.290746889099644,0.293361299106967
