"split","dataset","Tanimoto_to_train","Tanimoto_scaffold_to_train","Cats_cos","MCSF"
"Test","CHEMBL2971_Ki",0.274982443438914,0.53396742081448,0.426548761900452,0.310697653158408
"Test","CHEMBL3979_EC50",0.222917584745763,0.551750423728814,0.5483255,0.327155099521483
"Test","CHEMBL4005_Ki",0.20015358490566,0.494400943396226,0.416693973207547,0.267115601509044
"Test","CHEMBL4203_Ki",0.133656965517241,0.470168275862069,0.278138867655172,0.274147661207388
"Test","CHEMBL4616_EC50",0.2052824,0.5555952,0.40981290632,0.306644287159797
"Test","CHEMBL4792_Ki",0.264499752066116,0.612662809917355,0.551046549641873,0.346294959908757
"Test","ESR1_ant",0.0970253325242718,0.350267233009709,0.203386848501214,0.276782082081354
"Test","PPARG",0.0971589467312349,0.346106295399516,0.196773412919249,0.286040922369168
"Test","TP53",0.0960646730506156,0.353966621067031,0.202651599373461,0.270642407772329
"OOD","Ames_mutagenicity",0.0819563940345369,0.130416852433281,0.156134660410518,0.314962618883662
"OOD","CHEMBL1862_Ki",0.155708333333333,0.415383928571429,0.335947881190476,0.335479045814677
"OOD","CHEMBL1871_Ki",0.113689797979798,0.379372727272727,0.333945998484848,0.276925882229807
"OOD","CHEMBL2034_Ki",0.127613674698795,0.324728313253012,0.370947451807229,0.221903705636889
"OOD","CHEMBL2047_EC50",0.113335314685315,0.339988811188811,0.291600955524476,0.182494249904424
"OOD","CHEMBL204_Ki",0.156561361161524,0.328827041742287,0.304064823339383,0.260469494938205
"OOD","CHEMBL2147_Ki",0.131467988826816,0.427193296089385,0.30088053877095,0.25422330381925
"OOD","CHEMBL214_Ki",0.148255247524752,0.351478712871287,0.288819085482673,0.308375751341063
"OOD","CHEMBL218_EC50",0.137657322175732,0.337007531380753,0.35094585502092,0.221457865551576
"OOD","CHEMBL219_Ki",0.157197655367232,0.364798870056497,0.260716312711864,0.303989166783686
"OOD","CHEMBL228_Ki",0.119243656716418,0.277698009950249,0.258215539353234,0.332899816655048
"OOD","CHEMBL231_Ki",0.13616119266055,0.315848165137615,0.270182262385321,0.255747922793431
"OOD","CHEMBL233_Ki",0.147649884559885,0.258222222222222,0.283460456608947,0.241850131389217
"OOD","CHEMBL234_Ki",0.14834989010989,0.392416605616606,0.306509986947497,0.271250072392513
"OOD","CHEMBL235_EC50",0.169331398865784,0.397522684310019,0.441945589508507,0.26287397647271
"OOD","CHEMBL236_Ki",0.166151545454545,0.260011454545455,0.321526836490909,0.284010723794486
"OOD","CHEMBL237_EC50",0.14444297979798,0.248172222222222,0.321456848787879,0.21742442687407
"OOD","CHEMBL237_Ki",0.154293344768439,0.253345111492281,0.298396700051458,0.27708253950206
"OOD","CHEMBL238_Ki",0.126030416666667,0.259539166666667,0.273352287833333,0.294309405766065
"OOD","CHEMBL244_Ki",0.151479503546099,0.352016170212766,0.306038743900709,0.218581113310929
"OOD","CHEMBL262_Ki",0.128327816091954,0.39289367816092,0.281570337528736,0.288164915138947
"OOD","CHEMBL264_Ki",0.151284481268012,0.375436311239193,0.338505442190202,0.238855907956078
"OOD","CHEMBL2835_Ki",0.1306075,0.369569736842105,0.404550200328947,0.222477170031872
"OOD","CHEMBL287_Ki",0.135951494661922,0.296049822064057,0.253222106199288,0.287961320192375
"OOD","CHEMBL2971_Ki",0.176509004524887,0.395801357466063,0.336108586244344,0.354872117894888
"OOD","CHEMBL3979_EC50",0.191415169491525,0.388717372881356,0.527362171779661,0.280267011515129
"OOD","CHEMBL4005_Ki",0.149111226415094,0.3819,0.33930648,0.208902960627938
"OOD","CHEMBL4203_Ki",0.129169448275862,0.379550344827586,0.268061677310345,0.243570521945053
"OOD","CHEMBL4616_EC50",0.15680288,0.3888312,0.3300106904,0.215191491081298
"OOD","CHEMBL4792_Ki",0.145550743801653,0.392241046831956,0.404145061955923,0.216743151566255
"OOD","ESR1_ant",0.0929139805825243,0.207739830097087,0.195343769609223,0.212732605512436
"OOD","PPARG",0.0931325617433414,0.209120108958838,0.203582636329298,0.193287271549852
"OOD","TP53",0.0970916005471956,0.206875731874145,0.195827310077975,0.21256166174936
